Partition 2508D206-6983-4E27-8283-3A3D23FDA103
FloatPropertyTrackData 5E69A7CC-1569-4177-8024-7F47D26E4F56
    $::SimplePropertyTrackData
        $::PropertyTrackData
            $::DataContainer
            Id 622077060
            Times::array
                member(0) 0
                member(1) 94
                member(2) 188
                member(3) 284
                member(4) 641
                member(5) 750
                member(6) 847
                member(7) 939
                member(8) 1029
                member(9) 1107
                member(10) 1218
                member(11) 1305
                member(12) 1402
                member(13) 1505
                member(14) 2291
                member(15) 2367
                member(16) 2454
                member(17) 2545
                member(18) 2630
                member(19) 2719
                member(20) 2792
                member(21) 3646
                member(22) 3729
                member(23) 3824
                member(24) 3917
                member(25) 3986
                member(26) 4030
                member(27) 4095
                member(28) 4313
                member(29) 4593
                member(30) 5000
        InterpolationType InterpolationType_None
    Values::array
        member(0) 0.0
        member(1) 2.0
        member(2) 0.0
        member(3) 2.0
        member(4) 2.0
        member(5) 0.0
        member(6) 2.0
        member(7) 0.0
        member(8) 2.0
        member(9) 1.0
        member(10) 0.0
        member(11) 2.0
        member(12) 0.0
        member(13) 2.0
        member(14) 0.0
        member(15) 2.0
        member(16) 0.0
        member(17) 2.0
        member(18) 0.40000000596
        member(19) 2.0
        member(20) 0.0
        member(21) 2.0
        member(22) 0.0
        member(23) 2.0
        member(24) 0.10000000149
        member(25) 2.0
        member(26) 0.20000000298
        member(27) 2.0
        member(28) 0.0
        member(29) 2.0
        member(30) 4.5
FloatPropertyTrackData 9777E6E4-A714-47EB-8EA0-A5F907962A58
    $::SimplePropertyTrackData
        $::PropertyTrackData
            $::DataContainer
            Id -783084871
            Times::array
                member(0) 0
                member(1) 94
                member(2) 188
                member(3) 284
                member(4) 641
                member(5) 750
                member(6) 847
                member(7) 939
                member(8) 1029
                member(9) 1107
                member(10) 1218
                member(11) 1304
                member(12) 1403
                member(13) 1504
                member(14) 2291
                member(15) 2367
                member(16) 2454
                member(17) 2545
                member(18) 2627
                member(19) 2715
                member(20) 2792
                member(21) 3646
                member(22) 3729
                member(23) 3827
                member(24) 3917
                member(25) 3986
                member(26) 4030
                member(27) 4095
                member(28) 4313
                member(29) 4593
                member(30) 5000
        InterpolationType InterpolationType_None
    Values::array
        member(0) 0.0
        member(1) 1.0
        member(2) 0.0
        member(3) 1.0
        member(4) 1.0
        member(5) 0.0
        member(6) 1.0
        member(7) 0.0
        member(8) 1.0
        member(9) 2.0
        member(10) 0.0
        member(11) 1.0
        member(12) 0.0
        member(13) 1.0
        member(14) 0.0
        member(15) 1.0
        member(16) 0.0
        member(17) 1.0
        member(18) 0.10000000149
        member(19) 1.0
        member(20) 0.0
        member(21) 1.0
        member(22) 0.0
        member(23) 1.0
        member(24) 0.0
        member(25) 1.0
        member(26) 0.0
        member(27) 1.0
        member(28) 0.0
        member(29) 1.0
        member(30) 3.0
ObjectVariationSwitchEntityData C580C5FF-23C2-44D8-9B69-3097B2B027A9
    $::EntityData
        $::GameObjectData
            $::GameDataContainer
                $::DataContainer
            IsEventConnectionTarget 0
            IsPropertyConnectionTarget 3
            IndexInBlueprint 3
    Variation1 Props/StreetProps/LightCeiling_02/LightCeiling_02_Off/ECCDA4C0-06ED-0EF7-AECE-92CF7884E189
    Variation2 Props/StreetProps/LightCeiling_02/LightCeiling_02_off_02/FC366993-9B4A-4546-8557-20CC82084B58
PointLightEntityData 7E77B33B-C55D-43B0-AAF4-BD01BA53E36B
    $::LocalLightEntityData
        $::SpatialEntityData
            $::EntityData
                $::GameObjectData
                    $::GameDataContainer
                        $::DataContainer
                    IsEventConnectionTarget 3
                    IsPropertyConnectionTarget 2
                    IndexInBlueprint 1
            Transform::LinearTransform
                right::Vec3
                    x 0.999999880791
                    y 0.0
                    z -1.71716465047e-07
                up::Vec3
                    x 0.0
                    y 1.0
                    z 0.0
                forward::Vec3
                    x 1.71716465047e-07
                    y 0.0
                    z 0.999999880791
                trans::Vec3
                    x 0.0
                    y -0.177140653133
                    z 0.0
        Color::Vec3
            x 1.0
            y 0.754999995232
            z 0.316000014544
        Radius 3.0
        Intensity 1.5
        AttenuationOffset 1.0
        Visible True
        SpecularEnable True
        EnlightenColorMode EnlightenColorMode_Multiply
        EnlightenEnable True
        EnlightenColorScale::Vec3
            x 2.0
            y 1.50100004673
            z 0.59500002861
        ParticleColorScale::Vec3
            x 1.0
            y 1.0
            z 1.0
    Width 1.5
    TranslucencyAmbient 0.0
    TranslucencyScale 0.0
    TranslucencyPower 8
    TranslucencyDistortion 0.10000000149
ReferenceObjectData 3E24E5E0-C1D3-4F46-959D-38DD86011EE4
    $::GameObjectData
        $::GameDataContainer
            $::DataContainer
        IsEventConnectionTarget 1
        IsPropertyConnectionTarget 0
        IndexInBlueprint 2
    BlueprintTransform::LinearTransform
        right::Vec3
            x 1.0
            y 0.0
            z 1.69216345851e-15
        up::Vec3
            x 0.0
            y 1.0
            z 0.0
        forward::Vec3
            x -1.69216345851e-15
            y 0.0
            z 1.0
        trans::Vec3
            x 0.0
            y 0.0
            z 0.0
    Blueprint Props/StreetProps/LightCeiling_02/LightCeiling_02/E51758B9-C692-E463-1C78-A85E82745E79
    ObjectVariation *nullGuid*
    StreamRealm StreamRealm_None
    CastSunShadowEnable True
    Excluded False
SequenceEntityData 92FF971A-D146-4B7F-9CA3-ED4D5790723D
    $::EntityData
        $::GameObjectData
            $::GameDataContainer
                $::DataContainer
            IsEventConnectionTarget 2
            IsPropertyConnectionTarget 3
            IndexInBlueprint 4
    Events::array
        member(0)::SequenceEventData
            Event::EventSpec
                Id -117303631 (Disable)
            Time 0
        member(1)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 90
        member(2)::SequenceEventData
            Event::EventSpec
                Id -117303631 (Disable)
            Time 178
        member(3)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 269
        member(4)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 638
        member(5)::SequenceEventData
            Event::EventSpec
                Id -117303631 (Disable)
            Time 759
        member(6)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 846
        member(7)::SequenceEventData
            Event::EventSpec
                Id -117303631 (Disable)
            Time 949
        member(8)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 1028
        member(9)::SequenceEventData
            Event::EventSpec
                Id -1952177180 (Enable)
            Time 1110
        member(10)::SequenceEventData
            Event::EventSpec
                Id -117303631 (Disable)
            Time 1218
        member(11)::SequenceEventData
            Event::EventSpec
