Partition 2DF41168-0BAB-11E1-AA4E-EFBA5D767A10
GroundHeightEntityData 673897C2-5C5D-4DF3-A065-74FDBE694605
	$::SpatialEntityData
		$::EntityData
			$::GameObjectData
				$::GameDataContainer
					$::DataContainer
				IsEventConnectionTarget 3
				IsPropertyConnectionTarget 3
				IndexInBlueprint 37
		Transform::LinearTransform
			right::Vec3
				x 1.0
				y 0.0
				z 0.0
			up::Vec3
				x 0.0
				y 1.0
				z 0.0
			forward::Vec3
				x 0.0
				y 0.0
				z 1.0
			trans::Vec3
				x -1.9300251007080078
				y 21.422807693481445
				z 1.830029010772705
	Data::GroundHeightData
		WorldSize 100.0
		HeightSpan::Vec2
			x -59.278167724609375
			y -7.02329158782959
		Data::array
			member(0) 58944
			member(1) 58944
			member(2) 58944
			member(3) 58944
			member(4) 58944
			member(5) 58944
			member(6) 58944
			member(7) 58944
			member(8) 58944
			member(9) 58944
			member(10) 58944
			member(11) 58944
			member(12) 58944
			member(13) 58944
			member(14) 58944
			member(15) 58944
			member(16) 58944
			member(17) 58944
			member(18) 58944
			member(19) 58944
			member(20) 58944
			member(21) 58944
			member(22) 58944
			member(23) 58944
			member(24) 58944
			member(25) 58944
			member(26) 58944
			member(27) 58944
			member(28) 58944
			member(29) 58944
			member(30) 58944
			member(31) 58944
			member(32) 58944
			member(33) 58944
			member(34) 58944
			member(35) 58944
			member(36) 58944
			member(37) 58944
			member(38) 58944
			member(39) 58944
			member(40) 58944
			member(41) 58944
			member(42) 58944
			member(43) 58944
			member(44) 58944
			member(45) 58944
			member(46) 58944
			member(47) 58944
			member(48) 58944
			member(49) 58944
			member(50) 58944
			member(51) 58944
			member(52) 58944
			member(53) 58944
			member(54) 58944
			member(55) 58944
			member(56) 58944
			member(57) 58944
			member(58) 58944
			member(59) 58944
			member(60) 58944
			member(61) 58944
			member(62) 58944
			member(63) 58944
			member(64) 58944
			member(65) 58944
			member(66) 58944
			member(67) 58944
			member(68) 58944
			member(69) 58944
			member(70) 58944
			member(71) 58944
			member(72) 58944
			member(73) 58944
			member(74) 58944
			member(75) 58944
			member(76) 58944
			member(77) 58944
			member(78) 58944
			member(79) 58944
			member(80) 58944
			member(81) 58944
			member(82) 58944
			member(83) 58944
			member(84) 58944
			member(85) 58944
			member(86) 58944
			member(87) 58944
			member(88) 58944
			member(89) 58944
			member(90) 58944
			member(91) 58944
			member(92) 58944
			member(93) 58944
			member(94) 58944
			member(95) 58944
			member(96) 58944
			member(97) 58944
			member(98) 58944
			member(99) 58944
			member(100) 58944
			member(101) 58944
			member(102) 58944
			member(103) 58944
			member(104) 58944
			member(105) 58944
			member(106) 58944
			member(107) 58944
			member(108) 58944
			member(109) 58944
			member(110) 58944
			member(111) 58944
			member(112) 58944
			member(113) 58944
			member(114) 58944
			member(115) 58944
			member(116) 58944
			member(117) 58944
			member(118) 58944
			member(119) 58944
			member(120) 58944
			member(121) 58944
			member(122) 58944
			member(123) 58944
			member(124) 58944
			member(125) 58944
			member(126) 58944
			member(127) 58944
			member(128) 58944
			member(129) 58944
