Partition B72E95FF-1681-11E1-8C62-84EAE0530135
GroundHeightEntityData 2B9D9C5C-1190-46E8-A652-14597DA6C8F9
	$::SpatialEntityData
		$::EntityData
			$::GameObjectData
				$::GameDataContainer
					$::DataContainer
				IsEventConnectionTarget 3
				IsPropertyConnectionTarget 3
				IndexInBlueprint 48
		Transform::LinearTransform
			right::Vec3
				x 1.0
				y 0.0
				z 0.0
			up::Vec3
				x 0.0
				y 1.0
				z 0.0
			forward::Vec3
				x 0.0
				y 0.0
				z 1.0
			trans::Vec3
				x 0.0
				y 328.48583984375
				z 0.0
	Data::GroundHeightData
		WorldSize 2500.0
		HeightSpan::Vec2
			x -254.85971069335938
			y 292.02362060546875
		Data::array
			member(0) 9553
			member(1) 9463
			member(2) 9356
			member(3) 9262
			member(4) 9128
			member(5) 8856
			member(6) 8227
			member(7) 7587
			member(8) 7074
			member(9) 6583
			member(10) 6164
			member(11) 5826
			member(12) 5119
			member(13) 4587
			member(14) 4272
			member(15) 4261
			member(16) 4497
			member(17) 4302
			member(18) 4123
			member(19) 3853
			member(20) 3565
			member(21) 3389
			member(22) 3654
			member(23) 3280
			member(24) 3239
			member(25) 3235
			member(26) 2029
			member(27) 1029
			member(28) 546
			member(29) 488
			member(30) 393
			member(31) 393
			member(32) 956
			member(33) 936
			member(34) 964
			member(35) 2370
			member(36) 4256
			member(37) 5379
			member(38) 6976
			member(39) 8452
			member(40) 9191
			member(41) 9877
			member(42) 10388
			member(43) 10890
			member(44) 11477
			member(45) 12249
			member(46) 13507
			member(47) 15327
			member(48) 17402
			member(49) 18784
			member(50) 19770
			member(51) 20688
			member(52) 20935
			member(53) 21399
			member(54) 22263
			member(55) 23173
			member(56) 24071
			member(57) 24686
			member(58) 25644
			member(59) 27026
			member(60) 28236
			member(61) 28753
			member(62) 30325
			member(63) 31958
			member(64) 9564
			member(65) 9493
			member(66) 9440
			member(67) 9448
			member(68) 9313
			member(69) 8890
			member(70) 8343
			member(71) 7688
			member(72) 7171
			member(73) 6583
			member(74) 6104
			member(75) 5772
			member(76) 5315
			member(77) 5164
			member(78) 4931
			member(79) 4860
			member(80) 4493
			member(81) 4126
			member(82) 4044
			member(83) 4044
			member(84) 3853
			member(85) 3849
			member(86) 3902
			member(87) 3493
			member(88) 3205
			member(89) 3149
			member(90) 2658
			member(91) 1550
			member(92) 572
			member(93) 516
			member(94) 415
			member(95) 389
			member(96) 389
			member(97) 743
			member(98) 778
			member(99) 1569
			member(100) 3385
			member(101) 5008
			member(102) 7193
			member(103) 8611
			member(104) 9191
			member(105) 9877
			member(106) 10388
			member(107) 10890
			member(108) 11463
			member(109) 12028
			member(110) 12826
			member(111) 14035
			member(112) 15784
			member(113) 17155
			member(114) 18411
			member(115) 19684
			member(116) 20602
			member(117) 21399
			member(118) 22263
			member(119) 22940
			member(120) 23332
			member(121) 23888
			member(122) 24506
			member(123) 25832
			member(124) 26959
			member(125) 28202
			member(126) 30033
			member(127) 31509
			member(128) 9699
			member(129) 9639
			member(130) 9560
			member(131) 9350
			member(132) 9339
			member(133) 8995
			member(134) 8624
			member(135) 7995
			member(136) 7388
			member(137) 6774
			member(138) 6259
			member(139) 5913
			member(140) 5665
			member(141) 5553
			member(142) 5212
			member(143) 4909
			member(144) 4550
			member(145) 4130
			member(146) 4059
			member(147) 4070
			member(148) 4280
			member(149) 4299
			member(150) 4201
			member(151) 3640
			member(152) 3213
			member(153) 3153
			member(154) 3033
			member(155) 2220
			member(156) 1119
			member(157) 662
			member(158) 479
			member(159) 305
			member(160) 213
			member(161) 381
			member(162) 799
			member(163) 900
			member(164) 2853
			member(165) 5003
			member(166) 7212
			member(167) 9343
			member(168) 9878
			member(169) 10328
			member(170) 10758
			member(171) 11264
			member(172) 11519
			member(173) 11762
			member(174) 12440
			member(175) 13500
			member(176) 14623
			member(177) 16421
			member(178) 18228
			member(179) 19817
			member(180) 20772
			member(181) 21321
			member(182) 22145
			member(183) 22587
			member(184) 23102
			member(185) 23652
			member(186) 24337
			member(187) 25240
			member(188) 26614
			member(189) 28202
			member(190) 29880
			member(191) 30969
			member(192) 10062
			member(193) 9856
			member(194) 9568
			member(195) 9290
			member(196) 9107
			member(197) 8815
			member(198) 8759
			member(199) 8332
			member(200) 7823
			member(201) 6871
			member(202) 6377
			member(203) 5901
			member(204) 5504
			member(205) 5287
			member(206) 5042
			member(207) 4825
			member(208) 4789
			member(209) 4561
			member(210) 4383
			member(211) 4415
			member(212) 4636
			member(213) 4770
			member(214) 4868
			member(215) 4194
			member(216) 3774
			member(217) 3636
			member(218) 3295
			member(219) 2838
			member(220) 1853
			member(221) 988
			member(222) 543
			member(223) 295
			member(224) 84
			member(225) 84
			member(226) 765
			member(227) 801
			member(228) 2366
			member(229) 4883
			member(230) 7673
			member(231) 9594
			member(232) 10448
			member(233) 10736
			member(234) 11219
			member(235) 11191
			member(236) 11227
			member(237) 11549
			member(238) 12163
			member(239) 12897
			member(240) 14136
			member(241) 15904
			member(242) 17608
			member(243) 19042
			member(244) 20563
			member(245) 21128
			member(246) 21444
			member(247) 22111
			member(248) 22950
			member(249) 23645
			member(250) 24349
			member(251) 25240
			member(252) 26730
			member(253) 28116
			member(254) 29202
			member(255) 30483
			member(256) 10386
			member(257) 10230
			member(258) 9672
			member(259) 9279
			member(260) 8882
			member(261) 8744
			member(262) 8699
			member(263) 8508
			member(264) 7785
			member(265) 6804
			member(266) 6302
			member(267) 5789
			member(268) 5111
			member(269) 4819
			member(270) 4664
			member(271) 4658
			member(272) 4673
			member(273) 4750
			member(274) 4744
			member(275) 4718
			member(276) 4718
			member(277) 4789
			member(278) 4840
			member(279) 4682
			member(280) 4525
			member(281) 4263
			member(282) 3926
			member(283) 3194
