Partition 8F5E0384-52A4-11DF-AC80-BC6EA2597601
GroundHeightEntityData D2D1D06A-9677-4BD7-9082-F60C39A35628
    $::SpatialEntityData
        $::EntityData
            $::GameObjectData
                $::GameDataContainer
                    $::DataContainer
                IsEventConnectionTarget 3
                IsPropertyConnectionTarget 3
                IndexInBlueprint 63
        Transform::LinearTransform
            right::Vec3
                x 1.0
                y 0.0
                z 0.0
            up::Vec3
                x 0.0
                y 1.0
                z 0.0
            forward::Vec3
                x 0.0
                y 0.0
                z 1.0
            trans::Vec3
                x 1.87368774414
                y 98.0883789062
                z 23.9337615967
    Data::GroundHeightData
        WorldSize 900.0
        HeightSpan::Vec2
            x -28.087310791
            y -18.0559082031
        Data::array
            member(0) 13066
            member(1) 13066
            member(2) 13066
            member(3) 13066
            member(4) 13066
            member(5) 13066
            member(6) 13066
            member(7) 13066
            member(8) 13066
            member(9) 13066
            member(10) 13066
            member(11) 13066
            member(12) 13066
            member(13) 13066
            member(14) 13066
            member(15) 13066
            member(16) 13066
            member(17) 13066
            member(18) 13066
            member(19) 13066
            member(20) 13066
            member(21) 13066
            member(22) 13066
            member(23) 13066
            member(24) 13066
            member(25) 13066
            member(26) 13066
            member(27) 13066
            member(28) 13066
            member(29) 13066
            member(30) 13066
            member(31) 13066
            member(32) 13066
            member(33) 13066
            member(34) 13066
            member(35) 13066
            member(36) 13066
            member(37) 13066
            member(38) 13066
            member(39) 13066
            member(40) 13066
            member(41) 13066
            member(42) 13066
            member(43) 13066
            member(44) 13066
            member(45) 13066
            member(46) 13066
            member(47) 13066
            member(48) 13066
            member(49) 13066
            member(50) 13066
            member(51) 13066
            member(52) 13066
            member(53) 13066
            member(54) 13066
            member(55) 13066
            member(56) 13066
            member(57) 13066
            member(58) 13066
            member(59) 13066
            member(60) 13066
            member(61) 13066
            member(62) 13066
            member(63) 13066
            member(64) 13066
            member(65) 13066
            member(66) 13066
            member(67) 13066
            member(68) 13066
            member(69) 13066
            member(70) 13066
            member(71) 13066
            member(72) 13066
            member(73) 13066
            member(74) 13066
            member(75) 13066
            member(76) 13066
            member(77) 13066
            member(78) 13066
            member(79) 13066
            member(80) 13066
            member(81) 13066
            member(82) 13066
            member(83) 13066
            member(84) 13066
            member(85) 13066
            member(86) 13066
            member(87) 13066
            member(88) 13066
            member(89) 13066
            member(90) 13066
            member(91) 13066
            member(92) 13066
            member(93) 13066
            member(94) 13066
            member(95) 13066
            member(96) 13066
            member(97) 13066
            member(98) 13066
            member(99) 13066
            member(100) 13066
            member(101) 13066
            member(102) 13066
            member(103) 13066
            member(104) 13066
            member(105) 13066
            member(106) 13066
            member(107) 13066
            member(108) 13066
            member(109) 13066
            member(110) 13066
            member(111) 13066
            member(112) 13066
            member(113) 13066
            member(114) 13066
            member(115) 13066
            member(116) 13066
            member(117) 13066
            member(118) 13066
            member(119) 13066
            member(120) 13066
            member(121) 13066
            member(122) 13066
            member(123) 13066
            member(124) 13066
            member(125) 13066
            member(126) 13066
            member(127) 13066
            member(128) 13066
            member(129) 13066
            member(130) 13066
            member(131) 13066
            member(132) 13066
            member(133) 13066
            member(134) 13066
            member(135) 13066
            member(136) 13066
            member(137) 13066
            member(138) 13066
            member(139) 13066
            member(140) 13066
            member(141) 13066
            member(142) 13066
            member(143) 13066
            member(144) 13066
            member(145) 13066
            member(146) 13066
            member(147) 13066
            member(148) 13066
            member(149) 13066
            member(150) 13066
            member(151) 13066
            member(152) 13066
            member(153) 13066
            member(154) 13066
            member(155) 13066
            member(156) 13066
            member(157) 13066
            member(158) 13066
            member(159) 13066
            member(160) 13066
            member(161) 13066
            member(162) 13066
            member(163) 13066
            member(164) 13066
            member(165) 13066
            member(166) 13066
            member(167) 13066
            member(168) 13066
            member(169) 13066
            member(170) 13066
            member(171) 13066
            member(172) 13066
            member(173) 13066
            member(174) 13066
            member(175) 13066
            member(176) 13066
            member(177) 13066
            member(178) 13066
            member(179) 13066
            member(180) 13066
            member(181) 13066
            member(182) 13066
            member(183) 13066
            member(184) 13066
            member(185) 13066
            member(186) 13066
            member(187) 13066
            member(188) 13066
            member(189) 13066
            member(190) 13066
            member(191) 13066
            member(192) 13066
            member(193) 13066
            member(194) 13066
            member(195) 13066
            member(196) 13066
            member(197) 13066
            member(198) 13066
            member(199) 13066
            member(200) 13066
            member(201) 13066
            member(202) 13066
            member(203) 13066
            member(204) 13066
            member(205) 13066
            member(206) 13066
            member(207) 13066
            member(208) 13066
            member(209) 13066
            member(210) 13066
            member(211) 13066
            member(212) 13066
            member(213) 13066
            member(214) 13066
            member(215) 13066
            member(216) 13066
            member(217) 13066
            member(218) 13066
            member(219) 13066
            member(220) 13066
            member(221) 13066
            member(222) 13066
            member(223) 13066
            member(224) 13066
            member(225) 13066
            member(226) 13066
            member(227) 13066
            member(228) 13066
            member(229) 13066
            member(230) 13066
            member(231) 13066
            member(232) 13066
            member(233) 13066
            member(234) 13066
            member(235) 13066
            member(236) 13066
            member(237) 13066
            member(238) 13066
            member(239) 13066
            member(240) 13066
            member(241) 13066
            member(242) 13066
            member(243) 13066
            member(244) 13066
            member(245) 13066
            member(246) 13066
            member(247) 13066
            member(248) 13066
            member(249) 13066
            member(250) 13066
            member(251) 13066
            member(252) 13066
            member(253) 13066
            member(254) 13066
            member(255) 13066
            member(256) 13066
            member(257) 13066
            member(258) 13066
            member(259) 13066
            member(260) 13066
            member(261) 13066
            member(262) 13066
            member(263) 13066
            member(264) 13066
            member(265) 13066
            member(266) 13066
            member(267) 13066
            member(268) 13066
            member(269) 13066
            member(270) 13066
            member(271) 13066
            member(272) 13066
            member(273) 13066
            member(274) 13066
            member(275) 13066
            member(276) 13066
            member(277) 13066
            member(278) 13066
            member(279) 13066
            member(280) 13066
            member(281) 13066
            member(282) 13066
            member(283) 13066
            member(284) 13066
            member(285) 13066
            member(286) 13066
            member(287) 13066
            member(288) 13066
            member(289) 13066
            member(290) 13066
            member(291) 13066
            member(292) 13066
            member(293) 13066
            member(294) 13066
            member(295) 13066
            member(296) 13066
            member(297) 13066
            member(298) 13066
            member(299) 13066
            member(300) 13066
            member(301) 13066
            member(302) 13066
            member(303) 13066
            member(304) 13066
            member(305) 13066
            member(306) 13066
            member(307) 13066
            member(308) 13066
            member(309) 13066
            member(310) 13066
            member(311) 13066
            member(312) 13066
            member(313) 13066
            member(314) 13066
            member(315) 13066
            member(316) 13066
            member(317) 13066
            member(318) 13066
            member(319) 13066
            member(320) 13066
            member(321) 13066
            member(322) 13066
            member(323) 13066
            member(324) 13066
            member(325) 13066
            member(326) 13066
            member(327) 13066
            member(328) 13066
            member(329) 13066
            member(330) 13066
            member(331) 13066
            member(332) 13066
            member(333) 13066
            member(334) 13066
            member(335) 13066
            member(336) 13066
            member(337) 13066
            member(338) 13066
            member(339) 13066
            member(340) 13066
            member(341) 13066
            member(342) 13066
            member(343) 13066
            member(344) 13066
            member(345) 13066
            member(346) 13066
            member(347) 13066
            member(348) 13066
            member(349) 13066
            member(350) 13066
            member(351) 13066
            member(352) 13066
            member(353) 13066
            member(354) 13066
            member(355) 13066
            member(356) 13066
            member(357) 13066
            member(358) 13066
            member(359) 13066
            member(360) 13066
            member(361) 13066
            member(362) 13066
            member(363) 13066
            member(364) 13066
            member(365) 13066
            member(366) 13066
            member(367) 13066
            member(368) 13066
            member(369) 13066
            member(370) 13066
            member(371) 13066
            member(372) 13066
            member(373) 13066
            member(374) 13066
            member(375) 13066
            member(376) 13066
            member(377) 13066
            member(378) 13066
            member(379) 13066
            member(380) 13066
            member(381) 13066
            member(382) 13066
            member(383) 13066
            member(384) 13066
            member(385) 13066
            member(386) 13066
            member(387) 13066
            member(388) 13066
            member(389) 13066
            member(390) 13066
            member(391) 13066
            member(392) 13066
            member(393) 13066
            member(394) 13066
            member(395) 13066
            member(396) 13066
            member(397) 13066
            member(398) 13066
            member(399) 13066
            member(400) 13066
            member(401) 13066
            member(402) 13066
            member(403) 13066
            member(404) 13066
            member(405) 13066
            member(406) 13066
            member(407) 13066
            member(408) 13066
            member(409) 13066
            member(410) 13066
            member(411) 13066
            member(412) 13066
            member(413) 13066
            member(414) 13066
            member(415) 13066
            member(416) 13066
            member(417) 13066
            member(418) 13066
            member(419) 13066
            member(420) 13066
            member(421) 13066
            member(422) 13066
            member(423) 13066
            member(424) 13066
            member(425) 13066
            member(426) 13066
            member(427) 13066
            member(428) 13066
            member(429) 13066
            member(430) 13066
            member(431) 13066
            member(432) 13066
            member(433) 13066
            member(434) 13066
            member(435) 13066
            member(436) 13066
            member(437) 13066
            member(438) 13066
            member(439) 13066
            member(440) 13066
            member(441) 13066
            member(442) 13066
            member(443) 13066
            member(444) 13066
            member(445) 13066
            member(446) 13066
            member(447) 13066
            member(448) 13066
            member(449) 13066
            member(450) 13066
            member(451) 13066
            member(452) 13066
            member(453) 13066
            member(454) 13066
            member(455) 13066
            member(456) 13066
            member(457) 13066
            member(458) 13066
            member(459) 13066
            member(460) 13066
            member(461) 13066
            member(462) 13066
            member(463) 13066
            member(464) 13066
            member(465) 13066
            member(466) 13066
            member(467) 13066
            member(468) 13066
            member(469) 13066
            member(470) 13066
            member(471) 13066
            member(472) 60226
            member(473) 13066
            member(474) 13066
            member(475) 13066
            member(476) 13066
            member(477) 13066
            member(478) 13066
            member(479) 13066
            member(480) 13066
            member(481) 13066
            member(482) 13066
            member(483) 13066
            member(484) 13066
            member(485) 13066
            member(486) 13066
            member(487) 13066
            member(488) 13066
            member(489) 13066
            member(490) 13066
            member(491) 13066
            member(492) 13066
            member(493) 13066
            member(494) 13066
            member(495) 13066
            member(496) 13066
            member(497) 13066
            member(498) 13066
            member(499) 13066
            member(500) 13066
            member(501) 13066
            member(502) 13066
            member(503) 13066
            member(504) 13066
            member(505) 13066
            member(506) 13066
            member(507) 13066
            member(508) 13066
            member(509) 13066
            member(510) 13066
            member(511) 13066
            member(512) 13066
            member(513) 13066
            member(514) 13066
            member(515) 13066
            member(516) 13066
            member(517) 13066
            member(518) 13066
            member(519) 13066
            member(520) 13066
            member(521) 13066
            member(522) 13066
            member(523) 13066
            member(524) 13066
            member(525) 13066
            member(526) 13066
            member(527) 13066
            member(528) 13066
            member(529) 13066
            member(530) 13066
            member(531) 13066
            member(532) 13066
            member(533) 13066
            member(534) 13066
            member(535) 60226
            member(536) 60226
            member(537) 13066
            member(538) 13066
            member(539) 13066
            member(540) 13066
            member(541) 13066
            member(542) 13066
            member(543) 13066
            member(544) 13066
            member(545) 13066
            member(546) 13066
            member(547) 13066
            member(548) 13066
            member(549) 13066
            member(550) 13066
            member(551) 13066
            member(552) 13066
            member(553) 13066
            member(554) 13066
            member(555) 13066
            member(556) 13066
            member(557) 13066
            member(558) 13066
            member(559) 13066
            member(560) 13066
            member(561) 13066
            member(562) 13066
            member(563) 13066
            member(564) 13066
            member(565) 13066
            member(566) 13066
            member(567) 13066
            member(568) 13066
            member(569) 13066
            member(570) 13066
            member(571) 13066
            member(572) 13066
            member(573) 13066
            member(574) 13066
            member(575) 13066
            member(576) 13066
            member(577) 13066
            member(578) 13066
            member(579) 13066
            member(580) 13066
            member(581) 13066
            member(582) 13066
            member(583) 13066
            member(584) 13066
            member(585) 13066
            member(586) 13066
            member(587) 13066
            member(588) 13066
            member(589) 13066
            member(590) 13066
            member(591) 13066
            member(592) 13066
            member(593) 13066
            member(594) 13066
            member(595) 13066
            member(596) 13066
            member(597) 13066
            member(598) 60226
            member(599) 60226
            member(600) 60226
            member(601) 29296
            member(602) 13066
            member(603) 13066
            member(604) 13066
            member(605) 13066
            member(606) 13066
            member(607) 13066
            member(608) 13066
            member(609) 13066
            member(610) 13066
            member(611) 13066
            member(612) 13066
            member(613) 13066
            member(614) 13066
            member(615) 13066
            member(616) 13066
            member(617) 13066
            member(618) 13066
            member(619) 13066
            member(620) 13066
