Partition B236EBFE-19D5-11E0-A290-8785B7AADFDC
FloatPropertyTrackData A6985BCD-0F2D-4819-9E3D-2C22C68DB04F
	$::SimplePropertyTrackData
		$::PropertyTrackData
			$::DataContainer
			Id 622077060
			Times::array
				member(0) 0
				member(1) 94
				member(2) 188
				member(3) 284
				member(4) 641
				member(5) 750
				member(6) 847
				member(7) 939
				member(8) 1029
				member(9) 1107
				member(10) 1218
				member(11) 1305
				member(12) 1402
				member(13) 1505
				member(14) 2291
				member(15) 2367
				member(16) 2454
				member(17) 2545
				member(18) 2630
				member(19) 2719
				member(20) 2792
				member(21) 3646
				member(22) 3729
				member(23) 3824
				member(24) 3917
				member(25) 3986
				member(26) 4030
				member(27) 4095
				member(28) 4313
				member(29) 4593
				member(30) 5000
		InterpolationType InterpolationType_None
	Values::array
		member(0) 0.0
		member(1) 2.0
		member(2) 0.0
		member(3) 2.0
		member(4) 2.0
		member(5) 0.0
		member(6) 2.0
		member(7) 0.0
		member(8) 2.0
		member(9) 1.0
		member(10) 0.0
		member(11) 2.0
		member(12) 0.0
		member(13) 2.0
		member(14) 0.0
		member(15) 2.0
		member(16) 0.0
		member(17) 2.0
		member(18) 0.4000000059604645
		member(19) 2.0
		member(20) 0.0
		member(21) 2.0
		member(22) 0.0
		member(23) 2.0
		member(24) 0.10000000149011612
		member(25) 2.0
		member(26) 0.20000000298023224
		member(27) 2.0
		member(28) 0.0
		member(29) 2.0
		member(30) 4.5
FloatPropertyTrackData 9F856CE5-B517-4397-888A-B2B6958FD4F5
	$::SimplePropertyTrackData
		$::PropertyTrackData
			$::DataContainer
			Id -783084871
			Times::array
				member(0) 0
				member(1) 94
				member(2) 188
				member(3) 284
				member(4) 641
				member(5) 750
				member(6) 847
				member(7) 939
				member(8) 1029
				member(9) 1107
				member(10) 1218
				member(11) 1304
				member(12) 1403
				member(13) 1504
				member(14) 2291
				member(15) 2367
				member(16) 2454
				member(17) 2545
				member(18) 2627
				member(19) 2715
				member(20) 2792
				member(21) 3646
				member(22) 3729
				member(23) 3827
				member(24) 3917
				member(25) 3986
				member(26) 4030
				member(27) 4095
				member(28) 4313
				member(29) 4593
				member(30) 5000
		InterpolationType InterpolationType_None
	Values::array
		member(0) 0.0
		member(1) 1.0
		member(2) 0.0
		member(3) 1.0
		member(4) 1.0
		member(5) 0.0
		member(6) 1.0
		member(7) 0.0
		member(8) 1.0
		member(9) 2.0
		member(10) 0.0
		member(11) 1.0
		member(12) 0.0
		member(13) 1.0
		member(14) 0.0
		member(15) 1.0
		member(16) 0.0
		member(17) 1.0
		member(18) 0.10000000149011612
		member(19) 1.0
		member(20) 0.0
		member(21) 1.0
		member(22) 0.0
		member(23) 1.0
		member(24) 0.0
		member(25) 1.0
		member(26) 0.0
		member(27) 1.0
		member(28) 0.0
		member(29) 1.0
		member(30) 3.0
ObjectVariationSwitchEntityData 4BC2590F-77E0-4FF2-9737-EA1E9EAE229A
	$::EntityData
		$::GameObjectData
			$::GameDataContainer
				$::DataContainer
			IsEventConnectionTarget 0
			IsPropertyConnectionTarget 3
			IndexInBlueprint 3
	Variation1 Props/StreetProps/LightCeiling_02/LightCeiling_02_Off/ECCDA4C0-06ED-0EF7-AECE-92CF7884E189
	Variation2 Props/StreetProps/LightCeiling_02/LightCeiling_02_off_02/FC366993-9B4A-4546-8557-20CC82084B58
PointLightEntityData 245580EA-F2D9-43E5-9584-EFD8934AC3DE
	$::LocalLightEntityData
		$::SpatialEntityData
			$::EntityData
				$::GameObjectData
					$::GameDataContainer
						$::DataContainer
					IsEventConnectionTarget 3
					IsPropertyConnectionTarget 2
					IndexInBlueprint 1
			Transform::LinearTransform
				right::Vec3
					x 0.9999998807907104
					y 0.0
					z -1.7171646504721139e-07
				up::Vec3
					x 0.0
					y 1.0
					z 0.0
				forward::Vec3
					x 1.7171646504721139e-07
					y 0.0
					z 0.9999998807907104
				trans::Vec3
					x -0.05596923828125
					y 0.2984771728515625
					z -0.2347412109375
		Color::Vec3
			x 1.0
			y 0.7549999952316284
			z 0.3160000145435333
		Radius 2.0
		Intensity 3.0
		AttenuationOffset 1.0
		Visible True
		SpecularEnable True
		EnlightenColorMode EnlightenColorMode_Multiply
		EnlightenEnable True
		EnlightenColorScale::Vec3
			x 2.0
			y 1.5010000467300415
			z 0.5950000286102295
		ParticleColorScale::Vec3
			x 1.0
			y 1.0
			z 1.0
	Width 1.5
	TranslucencyAmbient 0.0
	TranslucencyScale 0.0
	TranslucencyPower 8
	TranslucencyDistortion 0.10000000149011612
ReferenceObjectData EB76DFA6-7BB3-4AE2-874E-10429B526D71
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 1
		IsPropertyConnectionTarget 0
		IndexInBlueprint 2
	BlueprintTransform::LinearTransform
		right::Vec3
			x 1.0
			y 0.0
			z 1.6921634585090675e-15
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x -1.6921634585090675e-15
			y 0.0
			z 1.0
		trans::Vec3
			x -0.029052734375
			y 0.4778289794921875
			z -0.1971435546875
	Blueprint Props/StreetProps/LightCeiling_02/LightCeiling_02/E51758B9-C692-E463-1C78-A85E82745E79
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
SequenceEntityData DF15ACF6-9A85-4338-B7AB-BB342EF826CE
	$::EntityData
		$::GameObjectData
			$::GameDataContainer
				$::DataContainer
			IsEventConnectionTarget 2
			IsPropertyConnectionTarget 3
			IndexInBlueprint 4
	Events::array
		member(0)::SequenceEventData
			Event::EventSpec
				Id -117303631 (Disable)
			Time 0
		member(1)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 90
		member(2)::SequenceEventData
			Event::EventSpec
				Id -117303631 (Disable)
			Time 178
		member(3)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 269
		member(4)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 638
		member(5)::SequenceEventData
			Event::EventSpec
				Id -117303631 (Disable)
			Time 759
		member(6)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 846
		member(7)::SequenceEventData
			Event::EventSpec
				Id -117303631 (Disable)
			Time 949
		member(8)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 1028
		member(9)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 1110
		member(10)::SequenceEventData
			Event::EventSpec
				Id -117303631 (Disable)
			Time 1218
		member(11)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 1309
		member(12)::SequenceEventData
			Event::EventSpec
				Id -117303631 (Disable)
			Time 1388
		member(13)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 1518
		member(14)::SequenceEventData
			Event::EventSpec
				Id -117303631 (Disable)
			Time 2280
		member(15)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 2380
		member(16)::SequenceEventData
			Event::EventSpec
				Id -117303631 (Disable)
			Time 2465
		member(17)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 2540
		member(18)::SequenceEventData
			Event::EventSpec
				Id -117303631 (Disable)
			Time 2631
		member(19)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 2713
		member(20)::SequenceEventData
			Event::EventSpec
				Id -117303631 (Disable)
			Time 2798
		member(21)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 3641
		member(22)::SequenceEventData
			Event::EventSpec
				Id -117303631 (Disable)
			Time 3729
		member(23)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 3829
		member(24)::SequenceEventData
			Event::EventSpec
				Id -117303631 (Disable)
			Time 3920
		member(25)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 3986
		member(26)::SequenceEventData
			Event::EventSpec
				Id -117303631 (Disable)
			Time 4035
		member(27)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 4098
		member(28)::SequenceEventData
			Event::EventSpec
				Id -117303631 (Disable)
			Time 4307
		member(29)::SequenceEventData
			Event::EventSpec
				Id -1952177180 (Enable)
			Time 4591
	SequenceStartTime 0
	SequenceLength 5000
	Looping False
	AutoStart False
	AutoPlayFirstFrame False
	PlayInReverse False
	Realm Realm_ClientAndServer
	PropertyTracks::array
		member(0) A6985BCD-0F2D-4819-9E3D-2C22C68DB04F
		member(1) 9F856CE5-B517-4397-888A-B2B6958FD4F5
	CustomSequenceTracks *nullArray*
	ClientUpdatePass UpdatePass_PostFrame
	ServerUpdatePass UpdatePass_PreSim
	ExternalTime 0.0
SpatialPrefabBlueprint 3EE9C505-39A9-DB6C-9872-7E3FC0D0930F #primary instance
	$::PrefabBlueprint
		$::Blueprint
			$::EntityBusData
				$::DataBusData
					$::Asset
						$::DataContainer
						Name Levels/SP_Earthquake/Props/LightCeiling_02/LightCeiling_02_Garage_01
					PropertyConnections::array
						member(0)::PropertyConnection
							Source DF15ACF6-9A85-4338-B7AB-BB342EF826CE
							Target B7615201-0F70-4FEB-B642-616C44D3B698
							SourceFieldId 622077060
							TargetFieldId -458572566 (Intensity)
						member(1)::PropertyConnection
							Source DF15ACF6-9A85-4338-B7AB-BB342EF826CE
							Target 245580EA-F2D9-43E5-9584-EFD8934AC3DE
							SourceFieldId -783084871
							TargetFieldId -458572566 (Intensity)
						member(2)::PropertyConnection
							Source 4BC2590F-77E0-4FF2-9737-EA1E9EAE229A
							Target EB76DFA6-7BB3-4AE2-874E-10429B526D71
							SourceFieldId 1564494525 (CurrentVariation)
							TargetFieldId -670630719 (ObjectVariation)
					LinkConnections *nullArray*
				EventConnections::array
					member(0)::EventConnection
						Source DF15ACF6-9A85-4338-B7AB-BB342EF826CE
						Target 4BC2590F-77E0-4FF2-9737-EA1E9EAE229A
						SourceEvent::EventSpec
							Id -1952177180 (Enable)
						TargetEvent::EventSpec
							Id 1489724583 (SetVariation1)
						TargetType EventConnectionTargetType_Client
					member(1)::EventConnection
						Source DF15ACF6-9A85-4338-B7AB-BB342EF826CE
						Target 4BC2590F-77E0-4FF2-9737-EA1E9EAE229A
						SourceEvent::EventSpec
							Id -117303631 (Disable)
						TargetEvent::EventSpec
							Id 1489724580 (SetVariation2)
						TargetType EventConnectionTargetType_Client
					member(2)::EventConnection
						Source EB76DFA6-7BB3-4AE2-874E-10429B526D71
						Target DF15ACF6-9A85-4338-B7AB-BB342EF826CE
						SourceEvent::EventSpec
							Id -2120949218 (OnHealthState1)
						TargetEvent::EventSpec
							Id 230748069 (Start)
						TargetType EventConnectionTargetType_ClientAndServer
					member(3)::EventConnection
						Source DF15ACF6-9A85-4338-B7AB-BB342EF826CE
						Target EB76DFA6-7BB3-4AE2-874E-10429B526D71
						SourceEvent::EventSpec
							Id 650265526 (OnFinished)
						TargetEvent::EventSpec
							Id 229946160 (Reset)
						TargetType EventConnectionTargetType_Server
				Descriptor *nullGuid*
				NeedNetworkId False
				InterfaceHasConnections False
				AlwaysCreateEntityBusClient False
				AlwaysCreateEntityBusServer False
		Objects::array
			member(0) B7615201-0F70-4FEB-B642-616C44D3B698
			member(1) 245580EA-F2D9-43E5-9584-EFD8934AC3DE
			member(2) EB76DFA6-7BB3-4AE2-874E-10429B526D71
			member(3) 4BC2590F-77E0-4FF2-9737-EA1E9EAE229A
			member(4) DF15ACF6-9A85-4338-B7AB-BB342EF826CE
SpotLightEntityData B7615201-0F70-4FEB-B642-616C44D3B698
	$::LocalLightEntityData
		$::SpatialEntityData
			$::EntityData
				$::GameObjectData
					$::GameDataContainer
						$::DataContainer
					IsEventConnectionTarget 3
					IsPropertyConnectionTarget 2
					IndexInBlueprint 0
			Transform::LinearTransform
				right::Vec3
					x 1.0
					y 0.0
					z 0.0
				up::Vec3
					x 0.0
					y -0.14602066576480865
					z -0.9892815351486206
				forward::Vec3
					x 0.0
					y 0.9892815351486206
					z -0.14602066576480865
				trans::Vec3
					x 0.0
					y 0.0
					z 0.0
		Color::Vec3
			x 1.0
			y 0.7570000290870667
			z 0.2800000011920929
		Radius 3.0
		Intensity 12.0
		AttenuationOffset 0.009999999776482582
		Visible True
		SpecularEnable True
		EnlightenColorMode EnlightenColorMode_Multiply
		EnlightenEnable True
		EnlightenColorScale::Vec3
			x 3.0
			y 3.0
			z 3.0
		ParticleColorScale::Vec3
			x 1.0
			y 1.0
			z 1.0
	Shape SpotLightShape_Cone
	ConeInnerAngle 0.0
	ConeOuterAngle 156.27699279785156
	FrustumFov 40.0
	FrustumAspect 1.0
	OrthoWidth 5.0
	OrthoHeight 5.0
	Texture *nullGuid*
	CastShadowsEnable False
	CastShadowsMinLevel QualityLevel_Low
