Partition D1A27F64-3380-11E0-9C69-F35878AF207B
GroundHeightEntityData C5403634-5BF7-4031-A34E-16BDFEFF831E
	$::SpatialEntityData
		$::EntityData
			$::GameObjectData
				$::GameDataContainer
					$::DataContainer
				IsEventConnectionTarget 3
				IsPropertyConnectionTarget 3
				IndexInBlueprint 40
		Transform::LinearTransform
			right::Vec3
				x 1.0
				y 0.0
				z 0.0
			up::Vec3
				x 0.0
				y 1.0
				z 0.0
			forward::Vec3
				x 0.0
				y 0.0
				z 1.0
			trans::Vec3
				x -224.14947509765625
				y 75.846435546875
				z 276.3830871582031
	Data::GroundHeightData
		WorldSize 1500.0
		HeightSpan::Vec2
			x -16.846435546875
			y 84.96852111816406
		Data::array
			member(0) 9273
			member(1) 9293
			member(2) 9343
			member(3) 9545
			member(4) 9987
			member(5) 8257
			member(6) 7684
			member(7) 3430
			member(8) 3741
			member(9) 8237
			member(10) 14231
			member(11) 16152
			member(12) 18727
			member(13) 21342
			member(14) 24158
			member(15) 26612
			member(16) 27397
			member(17) 28825
			member(18) 30112
			member(19) 30776
			member(20) 32194
			member(21) 33009
			member(22) 33491
			member(23) 34457
			member(24) 35664
			member(25) 37535
			member(26) 37977
			member(27) 39003
			member(28) 41718
			member(29) 44434
			member(30) 42241
			member(31) 42181
			member(32) 43126
			member(33) 45218
			member(34) 45782
			member(35) 46727
			member(36) 47532
			member(37) 46546
			member(38) 44957
			member(39) 43971
			member(40) 43891
			member(41) 44595
			member(42) 43891
			member(43) 41437
			member(44) 39647
			member(45) 38862
			member(46) 37555
			member(47) 36589
			member(48) 34899
			member(49) 33069
			member(50) 31862
			member(51) 30695
			member(52) 29670
			member(53) 29026
			member(54) 28624
			member(55) 28443
			member(56) 27889
			member(57) 27698
			member(58) 27718
			member(59) 28010
			member(60) 28422
			member(61) 28734
			member(62) 29106
			member(63) 30333
			member(64) 9273
			member(65) 9273
			member(66) 9293
			member(67) 9313
			member(68) 9535
			member(69) 8006
			member(70) 7704
			member(71) 3430
			member(72) 3741
			member(73) 8609
			member(74) 13457
			member(75) 15026
			member(76) 17319
			member(77) 19954
			member(78) 22991
			member(79) 23876
			member(80) 26190
			member(81) 28020
			member(82) 28020
			member(83) 30132
			member(84) 31299
			member(85) 31480
			member(86) 32224
			member(87) 33310
			member(88) 34155
			member(89) 35362
			member(90) 36126
			member(91) 37917
			member(92) 39687
			member(93) 41638
			member(94) 40310
			member(95) 40310
			member(96) 41859
			member(97) 42785
			member(98) 44092
			member(99) 45902
			member(100) 47371
			member(101) 45259
			member(102) 43408
			member(103) 42000
			member(104) 41799
			member(105) 41940
			member(106) 43006
			member(107) 40833
			member(108) 38138
			member(109) 36026
			member(110) 35020
			member(111) 34839
			member(112) 32888
			member(113) 30856
			member(114) 29649
			member(115) 28563
			member(116) 27558
			member(117) 26843
			member(118) 26461
			member(119) 25777
			member(120) 25556
			member(121) 25556
			member(122) 25606
			member(123) 25626
			member(124) 25787
			member(125) 26049
			member(126) 26572
			member(127) 27256
			member(128) 9273
			member(129) 9273
			member(130) 9273
			member(131) 9273
			member(132) 9293
			member(133) 7986
			member(134) 7734
			member(135) 3430
			member(136) 3741
			member(137) 8981
			member(138) 12743
			member(139) 14422
			member(140) 16876
			member(141) 18989
			member(142) 20879
			member(143) 23716
			member(144) 24601
			member(145) 25365
			member(146) 27799
			member(147) 28624
			member(148) 29851
			member(149) 29861
			member(150) 31178
			member(151) 31922
			member(152) 32888
			member(153) 33833
			member(154) 34638
			member(155) 35362
			member(156) 36770
			member(157) 38078
			member(158) 38299
			member(159) 38581
			member(160) 39606
			member(161) 41598
			member(162) 43710
			member(163) 45641
			member(164) 45601
			member(165) 44836
			member(166) 43167
			member(167) 40833
			member(168) 39425
			member(169) 39445
			member(170) 40451
			member(171) 40693
			member(172) 37876
			member(173) 34879
			member(174) 32667
			member(175) 32285
			member(176) 30776
			member(177) 28845
			member(178) 27638
			member(179) 26632
			member(180) 25737
			member(181) 24912
			member(182) 24128
			member(183) 23876
			member(184) 23374
			member(185) 23072
			member(186) 22861
			member(187) 22800
			member(188) 22951
			member(189) 23354
			member(190) 23897
			member(191) 24540
			member(192) 9273
			member(193) 9273
			member(194) 9273
			member(195) 9273
			member(196) 9293
			member(197) 8137
			member(198) 7674
			member(199) 3430
			member(200) 3741
			member(201) 8951
			member(202) 10249
			member(203) 14060
			member(204) 15871
			member(205) 17741
			member(206) 19431
			member(207) 20799
			member(208) 22066
			member(209) 24802
			member(210) 25828
			member(211) 27336
			member(212) 28121
			member(213) 28895
			member(214) 29790
			member(215) 30213
			member(216) 31259
			member(217) 32103
			member(218) 33029
			member(219) 33632
			member(220) 34195
			member(221) 35221
			member(222) 36126
			member(223) 36831
			member(224) 39063
			member(225) 41618
			member(226) 41497
			member(227) 41819
			member(228) 42805
			member(229) 41940
			member(230) 42825
			member(231) 40572
			member(232) 37454
			member(233) 36951
